chr20	50904002	50930825	-	NM_001282531.3	SJ	alternate exon 2-3 skipping (NM_181442.4 exon 1-2)	alternate exon skipping	1, 2, 3	NA	NA	NM_001282531.3
chr20	50904002	50904765	-	NM_001282531.3	SJ	canonical exon 3-4 splicing	canonical	3	NA	NA	NM_001282531.3
chr20	50904850	50928650	-	NM_001282531.3	SJ	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_001282531.3
chr20	50928826	50930825	-	NM_001282531.3	SJ	canonical exon 1-2 splicing	canonical	1	NA	NA	NM_001282531.3
chr20	50904850	50928650	-	NM_001282531.3	IR	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_001282531.3
chr20	50904002	50904765	-	NM_001282531.3	IR	canonical exon 3-4 splicing	canonical	3	NA	NA	NM_001282531.3
chr20	50928826	50930825	-	NM_001282531.3	IR	canonical exon 1-2 splicing	canonical	1	NA	NA	NM_001282531.3
chr20	50894513	50902016	-	NM_001282531.3	IR	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_001282531.3
chr20	50918782	50928650	-	NM_001282531.3	SJ	cryptic intron 2 acceptor @ -13933	cryptic acceptor	2	intron 2	-13933	NM_001282531.3
chr20	50902110	50903888	-	NM_001282531.3	IR	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_001282531.3
chr20	50894513	50902016	-	NM_001282531.3	SJ	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_001282531.3
chr20	50902110	50903888	-	NM_001282531.3	SJ	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_001282531.3
chr20	50904002	50928650	-	NM_001282531.3	SJ	alternate exon 3 skipping (NM_015339.5 exon 2-3)	alternate exon skipping	2, 3	NA	NA	NM_001282531.3
chr20	50902110	50930825	-	NM_001282531.3	SJ	exon 2-3-4 skipping	exon skipping	1, 2, 3, 4	NA	NA	NM_001282531.3
chr20	50904850	50918738	-	NM_001282531.3	SJ	cryptic intron 2 donor @ +9913	cryptic donor	2	intron 2	9913	NM_001282531.3
chr20	50904850	50918660	-	NM_001282531.3	SJ	cryptic intron 2 donor @ +9991	cryptic donor	2	intron 2	9991	NM_001282531.3
chr20	50904850	50930825	-	NM_001282531.3	SJ	alternate exon 2 skipping (NM_001347511.2 exon 1-2)	alternate exon skipping	1, 2	NA	NA	NM_001282531.3
chr20	50904002	50918738	-	NM_001282531.3	SJ	exon 3 skipping/cryptic intron 2 donor @ +9913	exon skipping, cryptic donor	2, 3	intron 2	9913	NM_001282531.3
