chr12	51913771	51914438	+	NM_000020.3	SJ	exon 5 skipping	exon skipping	4, 5	NA	NA	NM_000020.3
chr12	51912536	51913098	+	NM_000020.3	SJ	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_000020.3
chr12	51913351	51913558	+	NM_000020.3	SJ	canonical exon 3-4 splicing	canonical	3	NA	NA	NM_000020.3
chr12	51914586	51915224	+	NM_000020.3	IR	canonical exon 6-7 splicing	canonical	6	NA	NA	NM_000020.3
chr12	51913771	51913973	+	NM_000020.3	SJ	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_000020.3
chr12	51907696	51912469	+	NM_000020.3	IR	canonical exon 1-2 splicing	canonical	1	NA	NA	NM_000020.3
chr12	51915501	51916035	+	NM_000020.3	SJ	canonical exon 7-8 splicing	canonical	7	NA	NA	NM_000020.3
chr12	51913771	51913973	+	NM_000020.3	IR	canonical exon 4-5 splicing	canonical	4	NA	NA	NM_000020.3
chr12	51912536	51913098	+	NM_000020.3	IR	canonical exon 2-3 splicing	canonical	2	NA	NA	NM_000020.3
chr12	51914074	51914438	+	NM_000020.3	SJ	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_000020.3
chr12	51919116	51920758	+	NM_000020.3	IR	canonical exon 9-10 splicing	canonical	9	NA	NA	NM_000020.3
chr12	51914074	51914438	+	NM_000020.3	IR	canonical exon 5-6 splicing	canonical	5	NA	NA	NM_000020.3
chr12	51916234	51918984	+	NM_000020.3	IR	canonical exon 8-9 splicing	canonical	8	NA	NA	NM_000020.3
chr12	51916234	51918984	+	NM_000020.3	SJ	canonical exon 8-9 splicing	canonical	8	NA	NA	NM_000020.3
chr12	51913351	51913558	+	NM_000020.3	IR	canonical exon 3-4 splicing	canonical	3	NA	NA	NM_000020.3
chr12	51915501	51916035	+	NM_000020.3	IR	canonical exon 7-8 splicing	canonical	7	NA	NA	NM_000020.3
chr12	51919116	51920758	+	NM_000020.3	SJ	canonical exon 9-10 splicing	canonical	9	NA	NA	NM_000020.3
chr12	51913351	51914438	+	NM_000020.3	SJ	alternate exon 4-5 skipping (NM_001406490.1, NM_001406491.1, NM_001406492.1, NM_001406493.1, NM_001406494.1)	alternate exon skipping	3, 4, 5	NA	NA	NM_000020.3
chr12	51912536	51914438	+	NM_000020.3	SJ	alternate exon 3-4-5 skipping (NM_001406495.1 exon 1-2)	alternate exon skipping	2, 3, 4, 5	NA	NA	NM_000020.3
chr12	51914586	51915224	+	NM_000020.3	SJ	canonical exon 6-7 splicing	canonical	6	NA	NA	NM_000020.3
chr12	51894074	51912469	+	NM_000020.3	SJ	cryptic intergenic donor @ -13621	cryptic donor	NA	intergenic	-13621	NM_000020.3
